City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
297,constitucion,CL,59.2,83,78,6.58,-35.3333,-72.4167,1647859987
298,bereda,ES,59.14,61,49,6.33,43.2686,-7.5406,1647859988
299,christchurch,NZ,61.0,90,75,16.11,-43.5333,172.6333,1647859800
300,bongaree,AU,73.42,74,0,13.04,-27.0797,153.1586,1647859989
301,porto torres,IT,57.38,54,6,20.65,40.835,8.3972,1647859990
302,dalmatovo,RU,31.48,83,100,11.14,56.26,62.9362,1647859991
303,kuito,AO,68.59,78,100,6.31,-12.3833,16.9333,1647859992
304,arkhipo-osipovka,RU,45.43,41,32,11.61,44.37,38.52,1647859993
305,tasiilaq,GL,-1.66,61,2,5.95,65.6145,-37.6368,1647859993
306,khorixas,NA,88.02,38,12,17.02,-20.3667,14.9667,1647859994
307,korhogo,CI,93.27,39,64,5.7,9.45,-5.6333,1647859995
308,rio gallegos,AR,42.85,87,0,8.05,-51.6226,-69.2181,1647859758
309,coffeyville,US,54.91,53,75,4.61,37.0373,-95.6164,1647859804
310,pacific grove,US,47.66,85,77,1.99,36.6177,-121.9166,1647859997
311,mount gambier,AU,58.91,88,97,6.91,-37.8333,140.7667,1647859998
312,de aar,ZA,77.34,33,1,2.86,-30.6497,24.0123,1647859999
313,piacabucu,BR,82.96,69,78,6.96,-10.4056,-36.4344,1647859999
314,sambava,MG,81.45,85,81,13.2,-14.2667,50.1667,1647860000
315,diamantino,BR,72.27,95,77,1.92,-14.4086,-56.4461,1647860001
316,chaman,PK,74.8,11,0,5.06,30.9236,66.4512,1647860002
317,morvi,IN,99.03,9,2,10.92,22.8167,70.8333,1647860003
318,sitka,US,44.49,65,100,11.5,57.0531,-135.33,1647859839
319,tukrah,LY,53.37,58,84,25.3,32.5341,20.5791,1647860006
320,shingu,JP,50.27,70,95,2.26,33.7333,135.9833,1647860006
321,yumen,CN,38.89,40,100,12.84,40.2833,97.2,1647860008
322,cap malheureux,MU,87.48,74,46,4.0,-19.9842,57.6142,1647860008
323,likasi,CD,72.72,75,93,6.2,-10.9814,26.7333,1647860009
324,rypefjord,NO,39.67,70,75,36.82,70.6333,23.6667,1647860011
325,keflavik,IS,36.03,75,100,12.66,64.0049,-22.5624,1647860011
326,mount isa,AU,87.57,30,43,6.91,-20.7333,139.5,1647860012
327,cravo norte,CO,80.98,58,96,5.64,6.3017,-70.2041,1647860013
328,ostrovnoy,RU,36.57,81,87,22.24,68.0531,39.5131,1647860014
329,graaff-reinet,ZA,82.45,34,3,6.87,-32.2522,24.5308,1647860015
330,fortuna,US,39.65,95,75,6.91,40.5982,-124.1573,1647860015
331,anori,BR,72.88,99,100,2.15,-3.7728,-61.6442,1647860016
332,tiruchchendur,IN,93.49,63,15,19.35,8.4833,78.1167,1647860017
333,biak,ID,75.38,83,100,2.21,-0.9131,122.8766,1647860018
334,padang,ID,87.85,76,52,2.55,-0.9492,100.3543,1647860018
335,lukovetskiy,RU,35.47,82,58,6.2,64.2956,41.9211,1647860020
336,narsaq,GL,5.83,61,0,5.95,60.9167,-46.05,1647860021
337,coquimbo,CL,56.93,88,100,3.44,-29.9533,-71.3436,1647860021
338,barbacena,BR,60.31,94,100,6.91,-21.2258,-43.7736,1647860023
339,surt,LY,57.34,51,76,17.07,31.2089,16.5887,1647860024
340,itarema,BR,79.39,83,87,9.17,-2.9248,-39.9167,1647860024
341,bonavista,CA,29.75,95,100,29.64,48.6499,-53.1147,1647860025
342,ayan,RU,11.12,71,0,12.44,56.45,138.1667,1647860026
343,makat,KZ,39.96,65,94,20.45,47.6469,53.3463,1647860027
344,timbiqui,CO,74.08,96,95,5.12,2.7717,-77.6654,1647860027
345,jacksonville,US,53.6,80,0,0.0,30.3322,-81.6556,1647859884
346,ambilobe,MG,86.7,72,97,0.51,-13.2,49.05,1647860029
347,colac,AU,60.84,94,76,4.99,-38.3333,143.5833,1647860030
348,concordia,AR,57.27,80,75,9.22,-31.393,-58.0209,1647860031
349,dingle,PH,79.45,81,92,7.07,10.9995,122.6711,1647860032
350,waingapu,ID,80.94,81,93,4.52,-9.6567,120.2641,1647860033
351,andapa,MG,78.42,85,98,3.49,-14.65,49.65,1647860034
352,magnolia,US,42.49,78,70,6.13,33.2671,-93.2393,1647859939
353,shaunavon,CA,24.58,52,20,11.65,49.6501,-108.4181,1647860035
354,samarai,PG,84.61,73,76,7.09,-10.6167,150.6667,1647860036
355,bengkulu,ID,81.36,74,82,4.29,-3.8004,102.2655,1647860037
356,alekseyevsk,RU,26.2,84,100,10.71,57.8406,108.3492,1647860038
357,staroaleyskoye,RU,27.27,80,45,16.69,51.0061,82.0,1647860039
358,kanganpur,PK,102.63,6,0,4.85,30.7663,74.1231,1647860039
359,seabra,BR,71.4,73,6,3.87,-12.4186,-41.7703,1647860040
360,abu dhabi,AE,84.31,51,0,6.91,24.4667,54.3667,1647860041
361,lata,PT,66.07,74,96,8.77,40.1629,-8.3327,1647860042
362,paracuru,BR,81.1,82,93,7.63,-3.41,-39.0306,1647860042
363,hurricane,US,45.07,34,46,14.27,37.1753,-113.2899,1647860043
